"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
resumaker,,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",1,N/A,1,0,6600,989,0.196124,52,63,https://resumaker.pl/
"résumé maker",,"ai_overview,also_asks,related_search,snip_breadcrumbs",2,N/A,1,0,6600,989,0.196124,52,101,https://resumaker.pl/
"resumaker pl",,"ads_top,also_asks,ads_bot,related_search,snip_breadcrumbs",2,N/A,1,0,880,131,11.153451,58,105,https://resumaker.pl/
"resumaker kontakt",,"related_search,ai_overview,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,170,25,0.279355,7,4640,https://resumaker.pl/kontakt/
"cv resumaker",,"also_asks,related_search,snip_breadcrumbs,snip_sitelinks",2,N/A,1,0,140,20,0.342931,63,63,https://resumaker.pl/
"resumaker cv",,"pic,related_search,also_asks,ads_bot,snip_breadcrumbs,snip_sitelinks",2,12,1,0,140,20,0.278882,59,36,https://resumaker.pl/
"front end web developer resume",,"pic,snip_breadcrumbs",5,N/A,1,0,110,16,0.060644,4,311000000,https://resumaker.pl/przykładowe-cv/front-end-web-developer/
"customer service curriculum vitae",,"related_search,pic,also_asks,snip_breadcrumbs",4,N/A,1,0,70,10,0.630263,37,90,https://resumaker.pl/przykładowe-cv/klient---obsługa---profesjonalista/
"customer service cv",,"also_asks,related_search,pic,snip_breadcrumbs",3,3,1,0,70,10,0.630263,37,90,https://resumaker.pl/przykładowe-cv/klient---obsługa---profesjonalista/
"curriculum vitae customer service",,"also_asks,video,pic,snip_breadcrumbs",4,N/A,1,0,70,10,0.817418,51,80,https://resumaker.pl/przykładowe-cv/klient---obsługa---profesjonalista/
"customer care cv",,"related_search,pic,also_asks,snip_breadcrumbs",3,N/A,1,0,70,10,0.630263,37,90,https://resumaker.pl/przykładowe-cv/customer-care-representative/
"cv customer service",,"also_asks,related_search,pic,snip_breadcrumbs",3,N/A,1,0,70,10,0.630263,37,90,https://resumaker.pl/przykładowe-cv/klient---obsługa---profesjonalista/
"customer care service cv",,"related_search,also_asks,pic,snip_breadcrumbs",4,N/A,1,0,70,10,0.817418,51,90,https://resumaker.pl/przykładowe-cv/klient---obsługa---profesjonalista/
"coaching resume",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,3,1,0,50,7,0.439502,42,90,https://resumaker.pl/przykładowe-cv/trener-kariery/
"czy resumaker jest darmowy",,"ai_overview,also_asks,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,50,7,15.870828,44,455,https://resumaker.pl/cennik/
"kreator cv resumaker",,"also_asks,ads_bot,snip_breadcrumbs,snip_sitelinks",3,N/A,1,0,50,7,0.604825,66,49,https://resumaker.pl/
"cv trener piłki nożnej",,"also_asks,pic,related_search,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,50,7,0.490176,38,33200,https://resumaker.pl/przykładowe-cv/trener-piłki-nożnej/
"cv trenera piłki nożnej",,"also_asks,ai_overview,pic,snip_breadcrumbs",4,3,1,0,50,7,21.320131,38,58,https://resumaker.pl/przykładowe-cv/trener-piłki-nożnej/
"resumaker cennik",,"also_asks,ai_overview,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,50,7,0.418879,24,612,https://resumaker.pl/cennik/
"list motywacyjny mechanik samochodowy",,"related_search,also_asks,pic,snip_breadcrumbs",4,5,1,0,50,7,4.144434,10,63,https://resumaker.pl/przykładowe-list-motywacyjny/mechanik-samochodowy/
"list motywacyjny kierownika",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,N/A,1,0,40,5,0,11,90,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik/
"cv manager restauracji",,"pic,also_asks,snip_breadcrumbs",3,2,1,0,40,5,0,11,45,https://resumaker.pl/przykładowe-cv/doświadczony-restaurant-manager/
"cv web developer",,"also_asks,ai_overview,pic,snip_breadcrumbs",3,1,1,2,40,5,0,11,127,https://resumaker.pl/przykładowe-cv/front-end-web-developer/
"list motywacyjny pomoc kuchenna wzór",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs,snip_image_thumbnail",5,3,1,0,40,5,0,14,87,https://resumaker.pl/przykładowe-list-motywacyjny/pomocnik-kuchenny/
"cv muzyka",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,1,1,0,40,5,0,19,438000000,https://resumaker.pl/przykładowe-cv/muzyk/
"typowy hydraulik",,"local_pack,also_asks,pic,snip_breadcrumbs",2,N/A,1,,40,5,0,0,100,https://resumaker.pl/przykładowe-list-motywacyjny/hydraulik/
"list motywacyjny na stanowisko kierownicze wzór",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",6,4,1,0,40,5,0,11,90,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik/
"list motywacyjny kierownik",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,4,1,0,40,5,0,11,204000,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik/
"list motywacyjny nauczyciel wspomagający",,"pic,ai_overview,also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_fqdn_in_aio",4,11,1,0,40,5,0.023073,25,1700,https://resumaker.pl/przykładowe-list-motywacyjny/nauczyciel-edukacji-specjalnej/
"list motywacyjny pomoc kuchenna",,"also_asks,ai_overview,pic,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_fqdn_in_aio",4,3,1,0,40,5,0,5,7090,https://resumaker.pl/przykładowe-list-motywacyjny/pomocnik-kuchenny/
"cv techniczne",,"also_asks,related_search,pic,video,snip_breadcrumbs,snip_image_thumbnail",2,3,1,1,40,5,12.49081,41,80,https://resumaker.pl/przykładowe-cv/wsparcie-techniczne/
"manager restauracji cv",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,2,1,0,40,5,0,11,95,https://resumaker.pl/przykładowe-cv/doświadczony-restaurant-manager/
"helpdesk cv",,"ai_overview,also_asks,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,1,1,0,30,4,0,0,901000000,https://resumaker.pl/przykładowe-cv/administrator-help-desk/
"human resources cv",,"pic,related_search,also_asks,snip_breadcrumbs",3,N/A,1,0,30,4,0.249801,20,100,https://resumaker.pl/przykładowe-cv/hr-generalista/
"list motywacyjny pracownik administracyjny",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",4,10,1,0,30,4,0.079126,30,88900,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"list motywacyjny obsługa klienta",,"related_search,also_asks,snip_breadcrumbs",4,3,1,0,30,4,0,15,165000,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-obsługi-klienta/
"zakres obowiązków asystentki zarządu wzór",,"ai_overview,pic,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",5,N/A,1,0,30,4,0,0,33000,https://resumaker.pl/przykładowe-cv/asystent-wykonawczy/
"vp of hr",,"ai_overview,related_search,pic,also_asks,snip_breadcrumbs",3,N/A,1,0,30,4,0,0,238000000,https://resumaker.pl/przykładowe-cv/vp-hr/
"cv aktora",,"pic,also_asks,ai_overview,snip_breadcrumbs,snip_image_thumbnail",2,1,1,0,30,4,12.958818,25,45700,https://resumaker.pl/przykładowe-cv/aktor/
"cyber security cv",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",3,N/A,1,0,30,4,0.2,14,90,https://resumaker.pl/przykładowe-cv/inżynier-ds-cyberbezpieczeństwa/
"cv projektanta",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,30,4,0,46,90,https://resumaker.pl/przykładowe-cv/projektant/
"cv szef kuchni",,"also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",3,N/A,1,0,30,4,2.53365,29,90,https://resumaker.pl/przykładowe-cv/głowa/
"list motywacyjny automatyk",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",3,1,1,0,30,4,0,0,90,https://resumaker.pl/przykładowe-list-motywacyjny/technik-automatyk/
"human resource cv",,"pic,related_search,also_asks,snip_breadcrumbs",3,N/A,1,0,30,4,0.36,32,100,https://resumaker.pl/przykładowe-cv/hr-generalista/
"cv pizza",,"also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,30,4,0,3,90,https://resumaker.pl/przykładowe-cv/kucharz-pizzy/
"social media marketing resume",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",4,2,1,0,30,4,0,3,252000000,https://resumaker.pl/przykładowe-cv/social-media-marketing-manager/
"list motywacyjny automatyka",,"ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_fqdn_in_aio",3,1,1,0,30,4,0,0,12800,https://resumaker.pl/przykładowe-list-motywacyjny/technik-automatyk/
"cv helpdesk",,"ai_overview,also_asks,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,1,1,0,30,4,0,0,55600000,https://resumaker.pl/przykładowe-cv/administrator-help-desk/
"list motywacyjny do sklepu spożywczego",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",5,7,1,0,20,2,1.7316,17,90,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-sklepu-spozywczego/
"cv zastępca kierownika sklepu",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_fqdn_in_aio",4,N/A,1,0,20,2,0.179607,19,254000,https://resumaker.pl/przykładowe-cv/asystent-kierownika-sklepu-detalicznego/
"devops cv",,"also_asks,related_search,ai_overview,snip_breadcrumbs",2,N/A,1,0,20,2,0,12,1530000,https://resumaker.pl/przykładowe-cv/devops/
"list motywacyjny do sanepidu",,"also_asks,ai_overview,related_search,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,20,2,0.054151,19,2340,https://resumaker.pl/przykładowe-list-motywacyjny/inspektor-zdrowia/
"list motywacyjny pracownik ochrony",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",4,1,1,0,20,2,0,0,90,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-ochrony/
