"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Язык,Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
"online lebenslauf",,"related_search,snip_breadcrumbs",2,de,39,1,0,8100,1214,1.481189,71,100,https://www.onlinelebenslauf.com/
"cv editor",,"related_search,snip_breadcrumbs",2,en,37,1,0,720,107,1.187585,70,109,https://www.onlinelebenslauf.com/
"online lebenslauf com",,"also_asks,related_search,snip_breadcrumbs,snip_sitelinks",3,de,N/A,1,0,320,47,0.618834,56,90,https://www.onlinelebenslauf.com/
"online cv",,"also_asks,related_search,snip_breadcrumbs",2,it,38,1,0,320,47,1.287609,60,100,https://www.onlinelebenslauf.com/
"online lebenslauf vorlage",,"related_search,pic,snip_breadcrumbs",3,de,45,1,0,260,38,1.320035,64,17900000,https://www.onlinelebenslauf.com/
"onlinelebenslauf com",,"related_search,also_asks,snip_breadcrumbs,snip_sitelinks",2,de,N/A,1,0,210,31,0.624641,50,56,https://www.onlinelebenslauf.com/
"cv online editor",,"related_search,snip_breadcrumbs",3,en,37,1,0,110,16,1.011981,86,409000000,https://www.onlinelebenslauf.com/
"lebenslauf bewerten",,"related_search,snip_breadcrumbs",2,de,1,1,0,90,13,0.386693,64,9660000,https://www.onlinelebenslauf.com/lebenslauf-prufung/
"chronologischer lebenslauf muster",,"ai_overview,related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",3,de,16,1,0,70,10,0.774784,35,174000,https://www.onlinelebenslauf.com/chronologischen-lebenslauf/
"online motivationsschreiben",,"also_asks,related_search,ai_overview,snip_breadcrumbs",2,de,32,1,0,40,5,0.826976,69,32100000,https://www.onlinelebenslauf.com/motivationsschreiben/
"online lebenslauf generator",,"related_search,snip_breadcrumbs",3,de,40,1,0,30,4,2.73,63,13600000,https://www.onlinelebenslauf.com/
"lebenslauf online stellen",,"related_search,ads_bot,ads_top,snip_breadcrumbs",3,de,42,1,0,10,1,2.050153,81,100,https://www.onlinelebenslauf.com/
"cv template eu",,"pic,related_search,snip_breadcrumbs",3,pt,9,2,0,880,127,0.511194,38,90,https://www.onlinelebenslauf.com/europass-cv/
"europass curriculum vitae format",,"also_asks,related_search,pic,snip_breadcrumbs",4,en,22,2,0,880,127,0.511194,38,645000,https://www.onlinelebenslauf.com/europass-cv/
"template curriculum vitae europass",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,en,25,2,0,880,127,0.534435,41,833000,https://www.onlinelebenslauf.com/europass-cv/
"cv format european",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,sv,13,2,0,880,127,22.213679,38,135000000,https://www.onlinelebenslauf.com/europass-cv/
"easy lebenslauf",,"related_search,also_asks,snip_breadcrumbs",2,de,2,2,1,590,85,0.99424,63,56,https://www.onlinelebenslauf.com/
"cv eu format",,"pic,ai_overview,related_search,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,cy,14,2,1,480,69,0.654359,49,132,https://www.onlinelebenslauf.com/europass-cv/
"european cv template",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,fr,18,2,0,480,69,0.577598,47,90,https://www.onlinelebenslauf.com/europass-cv/
"cv template european",,"related_search,pic,snip_breadcrumbs",3,en,18,2,0,480,69,0.577598,47,90,https://www.onlinelebenslauf.com/europass-cv/
"cv europe template",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",3,en,13,2,0,480,69,0.654359,49,90,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf französisch",,"related_search,ai_overview,also_asks,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,de,7,2,2,390,56,0.467583,8,129,https://www.onlinelebenslauf.com/lebenslauf-franzoesisch/
"französisch lebenslauf",,"related_search,also_asks,video,pic,snip_breadcrumbs",2,de,7,2,1,390,56,0.467583,8,32,https://www.onlinelebenslauf.com/lebenslauf-franzoesisch/
"european union curriculum vitae",,"also_asks,pic,related_search,video,snip_breadcrumbs",4,en,38,2,0,320,46,0.660139,29,8980000,https://www.onlinelebenslauf.com/europass-cv/
"european cv",,"related_search,pic,also_asks,snip_breadcrumbs",2,en,8,2,0,320,46,0.654249,34,296000000,https://www.onlinelebenslauf.com/europass-cv/
"europass curriculum vitae online",,"also_asks,pic,related_search,snip_breadcrumbs",4,en,34,2,0,320,46,0.566525,43,708000,https://www.onlinelebenslauf.com/europass-cv/
onlinecv,,"also_asks,ai_overview,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",1,en,6,2,0,320,46,1.004017,63,603000,https://www.onlinelebenslauf.com/
"minijob bewerbung schüler",,"also_asks,related_search,pic,snip_breadcrumbs",3,de,17,2,0,170,24,0.171089,11,314000,https://www.onlinelebenslauf.com/bewerbung-minijob/
"cv französisch",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs",2,de,7,2,0,140,20,0.526907,14,7080000,https://www.onlinelebenslauf.com/lebenslauf-franzoesisch/
"lebenslauf student ohne berufserfahrung",,"related_search,also_asks,snip_breadcrumbs",4,de,7,2,0,110,15,0.534542,29,100,https://www.onlinelebenslauf.com/lebenslauf-ohne-berufserfahrung/
