"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Язык,Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
"better cv",,"pic,also_asks,related_search,snip_breadcrumbs,snip_sitelinks",2,en,20,1,0,50,7,0.41,68,146,https://bettercv.com/
"better cv format",,"ai_overview,pic,also_asks,video,snip_breadcrumbs",3,en,66,2,-1,3600,523,47.653727,61,106,https://bettercv.com/
"b cv",,"related_search,also_asks,pic,video,snip_breadcrumbs",2,en,11,7,0,170,12,1.803135,8,80,https://bettercv.com/
enhancv,,"related_search,video,also_asks,pic,snip_breadcrumbs",1,no,11,12,0,2900,21,1.753019,48,236000,https://bettercv.com/
"download resume builder free",,"ai_overview,also_asks,related_search,snip_breadcrumbs",4,en,60,13,0,170,1,1.063031,85,371000000,https://bettercv.com/
"cv com",,"related_search,also_asks,pic,snip_breadcrumbs",2,en,38,14,0,30,0,1.02,59,90,https://bettercv.com/
"improve cv",,"pic,video,related_search,ai_overview,snip_breadcrumbs",2,es,12,15,,320,2,1.75,66,130,https://bettercv.com/
"resume cv",,"also_asks,ai_overview,related_search,snip_breadcrumbs",2,en,75,16,0,480,3,1.236234,45,392000000,https://bettercv.com/
"create online resume for free",,"ai_overview,also_asks,related_search,snip_breadcrumbs",5,en,69,16,0,50,0,2.601439,52,377000000,https://bettercv.com/
"how to make a better cv",,"video,ai_overview,related_search,pic,also_asks,snip_breadcrumbs",6,en,47,17,0,1000,7,1.10037,52,592000000,https://bettercv.com/
"cv word",,"video,related_search,snip_breadcrumbs",2,nl,58,17,0,210,1,0.947081,34,90,https://bettercv.com/
sgtv,,"related_search,also_asks,snip_breadcrumbs",1,en,1,17,0,140,1,0,0,100,https://bettercv.com/
"cv resume",,"also_asks,related_search,ai_overview,snip_breadcrumbs",2,en,75,18,0,480,3,1.263482,52,421000000,https://bettercv.com/
"improve my cv",,"related_search,ai_overview,snip_breadcrumbs",3,es,15,18,,170,1,1.693781,73,127,https://bettercv.com/
"cv compiler",,"related_search,snip_breadcrumbs",2,en,1,19,,30,0,1.184825,77,168,https://bettercv.com/
"workplace mediation template",,"also_asks,pic,ai_overview,related_search,snip_breadcrumbs",3,en,1,77,0,10,0,61.990539,17,99,https://bettercv.com/resume/choose-template/one-column
"project assistant resume",,"also_asks,related_search,pic,snip_breadcrumbs",3,fr,1,78,0,10,0,0,2,278000000,https://bettercv.com/resume/choose-template/simple
"cook cv example",,"also_asks,pic,related_search,snip_breadcrumbs",3,en,5,84,0,10,0,0,46,27500000,https://bettercv.com/resume/choose-template/simple
"physical therapy resume",,"pic,related_search,snip_breadcrumbs",3,en,1,93,0,1,0,0,0,198,https://bettercv.com/resume/choose-template
