"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Интент,Язык,Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
"резюме шаблон бесплатный",,"pic,related_search,snip_breadcrumbs",3,I,ru,35,1,0,140,20,5.019066,79,90,https://www.visualcv.com/ru/
"cv visual",,"pic,related_search,snip_breadcrumbs",2,I,en,3,1,0,110,16,0.449931,78,45,https://www.visualcv.com/ru/
"visual cv",,"related_search,snip_breadcrumbs,snip_sitelinks",2,N,en,3,1,0,90,13,0.408474,68,1180000000,https://www.visualcv.com/ru/
"curriculum vitae free",,"related_search,snip_breadcrumbs",3,I,en,38,1,0,40,5,0.27688,86,48900000,https://www.visualcv.com/ru/
"cv vitae online",,"ai_overview,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,I,en,28,1,0,20,2,24.068245,82,83000000,https://www.visualcv.com/ru/
"cv site",,"related_search,pic,snip_breadcrumbs",2,N,fr,38,1,0,20,2,0,21,123,https://www.visualcv.com/ru/
"cv siteleri",,"related_search,pic,snip_breadcrumbs",2,I,en,0,1,0,20,2,0,21,90,https://www.visualcv.com/ru/
"резюме для работы в англии",англии,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",5,I,ru,0,1,0,10,1,0,0,64,https://www.visualcv.com/ru/Международный/ик-резюме/
"hungarian cv",,"related_search,pic,also_asks,snip_breadcrumbs",2,I,en,0,1,0,10,1,0,0,90,https://www.visualcv.com/international/hungary-cv/
"visual cv word template",,"also_asks,related_search,pic,snip_breadcrumbs",4,I,hi,1,1,0,10,1,0,0,136,https://www.visualcv.com/
"резюме на испанском шаблон",,"ai_overview,also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,I,ru,1,1,1,10,1,0,0,90,https://www.visualcv.com/ru/Международный/испания-резюме/
"curriculum online gratis",,"ai_overview,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,I,en,3,1,0,10,1,0,86,24300,https://www.visualcv.com/ru/
"visual sv",,"related_search,snip_breadcrumbs",2,I,en,1,1,0,10,1,0,7,130000000,https://www.visualcv.com/ru/
"google шаблоны резюме",,"related_search,also_asks,snip_breadcrumbs",3,I,ru,4,1,0,10,1,0,0,1110000,https://www.visualcv.com/ru/google-docs-resume-templates/
"reverse chronological resume",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,I,en,1,1,14,10,1,0,43,94,https://www.visualcv.com/reverse-chronological-resume-templates/
"как написать cv на французском",,"video,ai_overview,pic,related_search,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",5,I,ru,1,1,0,10,1,0,0,454000,https://www.visualcv.com/ru/Международный/Франция-резюме/
"резюме в англии",англии,"pic,ai_overview,video,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,I,ru,1,1,0,10,1,0,0,31400000,https://www.visualcv.com/ru/Международный/ик-резюме/
"шаблон резюме инженера строителя",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",4,I,ru,1,1,0,10,1,0,0,90,https://www.visualcv.com/ru/Примеры/Строительный-инженер/
"internet cv",,"related_search,pic,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,I,en,29,1,4,10,1,0,0,112,https://www.visualcv.com/ru/
"irish cv template",,"also_asks,pic,related_search,ads_bot,snip_breadcrumbs,snip_image_thumbnail",3,C,bn,0,1,0,10,1,0,0,90,https://www.visualcv.com/international/ireland/
"cv firmy",,"also_asks,pic,related_search,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,I,es,20,1,0,10,1,0,0,63300000,https://www.visualcv.com/ru/
"cv url",,"related_search,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,I,en,1,1,0,10,1,0,0,1340000000,https://www.visualcv.com/ru/блог/cv-ssylki/
"professional summary for mechanical engineer",,"pic,ai_overview,related_search,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",5,I,en,0,1,0,10,1,0,0,201000000,https://www.visualcv.com/resume-summary/mechanical-engineer/
"cv maker for students free",,"related_search,snip_breadcrumbs",5,I,en,4,1,0,10,1,0,0,606000000,https://www.visualcv.com/student-cv/
"russian cv",,"related_search,pic,snip_breadcrumbs",2,I,en,1,1,0,10,1,0,43,45,https://www.visualcv.com/ru/Международный/Россия-резюме/
"military cv template",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",3,I,en,1,1,0,10,1,0,62,90,https://www.visualcv.com/examples/military/
